"abrv";"country";"region";"city";"zip";"lat";"long";"gmt"
"KR";"Korea, Republic of";"Gwangju";"Kwangju";"501-030";"35.15472";"126.91556";"+09:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"CN";"China";"Guangdong";"Guangzhou";"510140";"23.11667";"113.25";"+08:00"
"US";"United States";"Texas";"Dallas";"75201";"32.78306";"-96.80667";"-05:00"
"CN";"China";"Jiangxi";"Nanchang";"330008";"28.68333";"115.88333";"+08:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Ohio";"Kettering";"45429";"39.691535";"-84.153266";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"DK";"Denmark";"Midtjylland";"Tranbjerg";"8310";"56.0901";"10.11937";"+02:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"TR";"Turkey";"Istanbul";"Istanbul";"37770";"41.01384";"28.94966";"+03:00"
"SN";"Senegal";"Dakar";"Dakar";"-";"14.6937";"-17.44406";"+00:00"
"BG";"Bulgaria";"Varna";"Varna";"9000";"43.21667";"27.91667";"+03:00"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"CN";"China";"Henan";"Jiaozuo";"454000";"35.23972";"113.23306";"+08:00"
"US";"United States";"California";"Los Angeles";"90001";"34.05223";"-118.24368";"-07:00"
"IN";"India";"Karnataka";"Bangalore";"560018";"12.97623";"77.60329";"+05:30"
"SE";"Sweden";"Stockholms Lan";"Stockholm";"19587";"59.33258";"18.0649";"+02:00"
"GB";"United Kingdom";"England";"Warrington";"MK46 4JQ";"52.18446";"-0.68759";"+01:00"
"US";"United States";"North Carolina";"Durham";"27709";"35.9947";"-78.8962";"-04:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"AU";"Australia";"Queensland";"Brisbane";"4000";"-27.46794";"153.02809";"+10:00"
"FR";"France";"Ile-de-France";"Meudon";"92360";"48.81381";"2.235";"+01:00"
"SA";"Saudi Arabia";"Ar Riyad";"Riyadh";"-";"24.68773";"46.72185";"+03:00"
"VN";"Viet Nam";"Ho Chi Minh";"Ho Chi Minh City";"700000";"10.75";"106.66667";"+07:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"JP";"Japan";"Saga";"Saga";"840-0812";"33.267";"130.3";"+09:00"
"CA";"Canada";"Ontario";"Toronto";"M5J 2N8";"43.641656";"-79.377317";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"TW";"Taiwan, Province of China";"T'ai-wan";"Taipei";"10048";"25.04776";"121.53185";"+08:00"
"US";"United States";"Virginia";"McLean";"22102";"38.952757";"-77.235064";"-04:00"
"US";"United States";"South Carolina";"Lexington";"29071";"33.98154";"-81.23621";"-04:00"
"US";"United States";"Michigan";"Ann Arbor";"48104";"42.259863";"-83.719897";"-04:00"
"RU";"Russian Federation";"Novgorodskaya oblast'";"Velikiy Novgorod";"173025";"58.51667";"31.28333";"+03:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"NL";"Netherlands";"Zuid-Holland";"Delft";"2629";"52.00667";"4.35556";"+02:00"
"US";"United States";"Illinois";"Chicago";"60632";"41.809156";"-87.712136";"-05:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"US";"United States";"California";"Los Angeles";"90001";"34.05223";"-118.24368";"-07:00"
"US";"United States";"Virginia";"Virginia Beach";"23459";"36.88164";"-76.00152";"-04:00"
"DZ";"Algeria";"Annaba";"Annaba";"23002";"36.9";"7.76667";"+01:00"
"FI";"Finland";"Uusimaa";"Helsinki";"00101";"60.16952";"24.93545";"+03:00"
"US";"United States";"Arizona";"Phoenix";"85001";"33.44838";"-112.07404";"-07:00"
"CH";"Switzerland";"Zurich";"Zurich";"8047";"47.36667";"8.55";"+02:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"GB";"United Kingdom";"England";"Leeds";"ME17 1SQ";"51.24677";"0.60682";"+01:00"
"FI";"Finland";"Uusimaa";"Helsinki";"00441";"60.16952";"24.93545";"+03:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"DE";"Germany";"Rheinland-Pfalz";"Minden";"54310";"49.83333";"6.46667";"+02:00"
"US";"United States";"Texas";"Dallas";"75201";"32.78306";"-96.80667";"-05:00"
"BR";"Brazil";"Maranhao";"Barra do Corda";"65950-000";"-5.5";"-45.25";"-03:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"MX";"Mexico";"Coahuila";"Saltillo";"30189";"25.41667";"-101";"-05:00"
"JP";"Japan";"Tokyo";"Shibuya-ku";"150-0041";"35.664036";"139.698211";"+09:00"
"CN";"China";"Chongqing";"Yunyang";"442000";"30.9736";"108.698";"+08:00"
"SE";"Sweden";"Stockholms Lan";"Stockholm";"19587";"59.33258";"18.0649";"+02:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"KR";"Korea, Republic of";"Seoul";"Seoul";"100-101";"37.56826";"126.97783";"+09:00"
"US";"United States";"Ohio";"Columbus";"43218";"39.96638";"-83.01277";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"GB";"United Kingdom";"England";"Warrington";"MK46 4JQ";"52.18446";"-0.68759";"+01:00"
"US";"United States";"New York";"Buffalo";"14202";"42.8825";"-78.8788";"-04:00"
"BR";"Brazil";"Rio Grande do Sul";"Porto Alegre";"90000-000";"-30.03306";"-51.23";"-03:00"
"US";"United States";"Virginia";"Lynchburg";"24501";"37.41375";"-79.14225";"-04:00"
"JP";"Japan";"Fukushima";"Shirakawa";"961-0075";"37.117";"140.2";"+09:00"
"US";"United States";"Indiana";"Indianapolis";"46285";"39.74395";"-86.16187";"-04:00"
"US";"United States";"Tennessee";"Memphis";"38194";"35.06616";"-89.99943";"-05:00"
"US";"United States";"Arizona";"Fort Huachuca";"85613";"31.55646";"-110.35056";"-07:00"
"CN";"China";"Zhejiang";"Quzhou";"324000";"28.95944";"118.86861";"+08:00"
"CN";"China";"Jiangxi";"Nanchang";"330008";"28.68333";"115.88333";"+08:00"
"JP";"Japan";"Tokyo";"Tokyo";"214-0021";"35.689506";"139.6917";"+09:00"
"US";"United States";"California";"Los Angeles";"90001";"34.05223";"-118.24368";"-07:00"
"CN";"China";"Guangdong";"Shenzhen";"518026";"22.54554";"114.0683";"+08:00"
"CN";"China";"Shandong";"Qingdao";"266022";"36.09861";"120.37194";"+08:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"NP";"Nepal";"Bagmati";"Kirtipur";"44610";"27.67988";"85.27544";"+05:30"
"-";"-";"-";"-";"-";"0";"0";"-"
"SE";"Sweden";"Norrbottens Lan";"Lulea";"97820";"65.58415";"22.15465";"+02:00"
"CN";"China";"Beijing";"Beijing";"100006";"39.9075";"116.39723";"+08:00"
"US";"United States";"California";"Pomona";"91766";"34.041742";"-117.761853";"-07:00"
"US";"United States";"Texas";"Dallas";"75201";"32.78306";"-96.80667";"-05:00"
"US";"United States";"Pennsylvania";"Philadelphia";"19132";"39.995807";"-75.167371";"-04:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"JP";"Japan";"Ibaraki";"Ushiku";"300-1234";"35.983";"140.15";"+09:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"US";"United States";"Arizona";"Fort Huachuca";"85613";"31.55646";"-110.35056";"-07:00"
"ZA";"South Africa";"Gauteng";"Johannesburg";"2041";"-26.20227";"28.04363";"+02:00"
"GB";"United Kingdom";"England";"Marfleet";"HU9 5RE";"53.74953";"-0.27258";"+01:00"
"RU";"Russian Federation";"Altayskiy kray";"Barnaul";"656008";"53.36056";"83.76361";"+03:00"
"US";"United States";"Massachusetts";"Cambridge";"02139";"42.365079";"-71.104519";"-04:00"
"CN";"China";"Beijing";"Beijing";"100038";"39.9075";"116.39723";"+08:00"
"PL";"Poland";"Malopolskie";"Krakow";"31-999";"50.08333";"19.91667";"+02:00"
"JP";"Japan";"Tokyo";"Tokyo";"214-0021";"35.689506";"139.6917";"+09:00"
"CN";"China";"Sichuan";"Chengdu";"610015";"30.66667";"104.06667";"+08:00"
"JP";"Japan";"Hyogo";"Takarazuka";"665-0821";"34.8";"135.367";"+09:00"
"CN";"China";"Beijing";"Beijing";"100006";"39.9075";"116.39723";"+08:00"
"CN";"China";"Beijing";"Beijing";"100006";"39.9075";"116.39723";"+08:00"
"-";"-";"-";"-";"-";"0";"0";"-"
"DE";"Germany";"Baden-Wurttemberg";"Stuttgart";"70174";"48.78232";"9.17702";"+02:00"
