"pais";"quantidadeIPs"
"-";30
"Algeria";1
"Australia";3
"Belgium";1
"Brazil";4
"Bulgaria";1
"Canada";3
"China";17
"Colombia";1
"Denmark";2
"Egypt";1
"Finland";4
"France";1
"Germany";2
"Hong Kong";1
"India";3
"Japan";12
"Korea, Republic of";8
"Mauritius";1
"Mexico";2
"Morocco";1
"Nepal";1
"Netherlands";2
"Pakistan";1
"Poland";2
"Portugal";1
"Russian Federation";2
"Saudi Arabia";1
"Senegal";1
"South Africa";2
"Sweden";6
"Switzerland";2
"Taiwan, Province of China";1
"Turkey";1
"United Arab Emirates";2
"United Kingdom";6
"United States";68
"Venezuela, Bolivarian Republic of";1
"Viet Nam";1
